"time","first_hit","first","second_hit","second","third","fourth","over"
414,9,37013100,42,7138100,174600,5300,0
413,2,176762900,23,13833400,440800,8400,0
412,2,174393800,13,24146600,369300,6900,0
411,2,320327800,20,19855500,679700,11600,0
410,1,200000000,14,25676500,1000800,14700,199416745
409,6,88449700,44,7912100,279000,6200,0
408,1,200000000,14,22106300,484800,9000,143879862
407,3,250783000,15,24180100,420900,8200,0
406,0,0,13,24185000,814800,11800,349343178
405,2,175637000,26,12159300,477700,9000,0
404,4,139117700,31,11478400,522600,10000,0
403,1,200000000,21,15475500,589900,10000,161098341
402,2,177704700,16,19991600,475600,8200,0
401,8,46775300,15,22451900,515400,9800,0
